project_id,project_name,developer,offtaker,parent_group,country,subnational_region,city,latitude,longitude,industry,project_status,commercial_operation_date,business_model,regulatory_archetype,installed_capacity_kwp,dc_ac_basis,annual_generation_kwh,specific_yield_kwh_kwp,annual_customer_load_kwh,self_consumption_ratio,ppa_exists,ppa_price_status,ppa_tenor_years,currency,project_cost,financing_amount,financing_currency,financing_structure,credit_evidence_status,site_rights_status,benchmark_pack_id,coverage_score,evidence_grade,source_quality_grade,candidate_coverage_grade,entity_granularity,primary_source_id,source_count,model_mode,ppa_mode,evidence_class,selection_status,freeze_status,data_quality_status,candidate_project_id,country_region,generation_evidence_status,load_evidence_level
EU-GY-SASOL-ITALY,Sasol Terranova,GreenYellow,Sasol,GreenYellow,Italy,European Union,Terranova dei Passerini,,,C&I solar,OPERATING,,OFFSITE_PPA,PUBLIC_DATA_RECONSTRUCTION,5100,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,7610000,1492.16,8952941.18,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-IT-CI-2026,81,STRONG,STRONG,STRONG,ASSET_SITE,GY-EU-SASOL,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-SASOL-ITALY,Italy,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-STELLANTIS-SLOVAKIA,Stellantis Slovakia,GreenYellow,Stellantis,GreenYellow,Slovakia,European Union,Slovakia,,,C&I solar,OPERATING,,ONSITE_PPA,PUBLIC_DATA_RECONSTRUCTION,13000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,7000000,538.46,8235294.12,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-SK-CI-2026,85,GOLD,STRONG,GOLD,ASSET_SITE,GY-EU-STELLANTIS,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-STELLANTIS-SLOVAKIA,Slovakia,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
IN-AZURE-GANDHINAGAR,Azure Sun Gandhinagar rooftop,Azure Sun Energy,Torrent Power,Azure Sun Energy,India,India,Gandhinagar,,,C&I solar,OPERATING,,ROOFTOP_CONCESSION,STATE_DISCOM_OR_OPEN_ACCESS_REQUIRED,2500,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,3625000,1450,4264705.88,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,INR,,,INR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,IN-CI-2026,85,GOLD,STRONG,GOLD,ASSET_SITE,IFC-32148,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,IN-AZURE-GANDHINAGAR,India,DERIVED_FROM_CAPACITY_AND_YIELD,LEVEL_3_ANNUAL_ONLY
IN-CLEANMAX-TN-30MW,Clean Max Tamil Nadu,Clean Max,Tata Communications,Clean Max,India,India,Tamil Nadu,,,C&I solar,OPERATING,,ONSITE_PRIVATE_WIRE_PPA,STATE_DISCOM_OR_OPEN_ACCESS_REQUIRED,30000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,43500000,1450,51176470.59,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,INR,,,INR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,IN-CI-2026,75,STRONG,STRONG,STRONG,ASSET_SITE,IFC-38331,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,IN-CLEANMAX-TN-30MW,India,DERIVED_FROM_CAPACITY_AND_YIELD,LEVEL_3_ANNUAL_ONLY
IN-FPEL-ARISUDHANA,FPEL Arisudhana rooftop,Fourth Partner Energy,Arisudhana,Fourth Partner Energy,India,India,Ludhiana Punjab,,,C&I solar,COMMISSIONED,,ONSITE_SELF_CONSUMPTION,STATE_DISCOM_OR_OPEN_ACCESS_REQUIRED,2090,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,30500000,14593.3,35882352.94,0.85,NO,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,INR,,,INR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,IN-CI-2026,71,ACCEPTABLE,STRONG,ACCEPTABLE,ASSET_SITE,FPEL-ARISUDHANA,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,IN-FPEL-ARISUDHANA,India,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
IN-CLEANTECH-EXIDE-HALDIA,Exide Haldia rooftop,Cleantech Solar,Exide Chloride Metals,Cleantech Solar,India,India,Haldia,,,C&I solar,COMMISSIONED,,ONSITE_PPA,STATE_DISCOM_OR_OPEN_ACCESS_REQUIRED,2600,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,3770000,1450,4435294.12,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,INR,,,INR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,IN-CI-2026,67,ACCEPTABLE,STRONG,ACCEPTABLE,ASSET_SITE,CLEANTECH-HALDIA,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,IN-CLEANTECH-EXIDE-HALDIA,India,DERIVED_FROM_CAPACITY_AND_YIELD,LEVEL_3_ANNUAL_ONLY
VN-GY-GOMALL,GO Mall Vietnam portfolio,GreenYellow,GO Mall,GreenYellow,Vietnam,Vietnam,10 Vietnam malls,,,C&I solar,OPERATING,,PORTFOLIO_DISTRIBUTED,PUBLIC_DATA_RECONSTRUCTION,9000,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,13000000,1444.44,14444444.44,0.9,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,VND,,,VND,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,VN-CI-2026,83,STRONG,STRONG,STRONG,MULTISITE_PORTFOLIO,GY-VN-GOMALL,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,VN-GY-GOMALL,Vietnam,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
VN-GY-LOTTEMART,LOTTE Mart Vietnam portfolio,GreenYellow,LOTTE Mart,GreenYellow,Vietnam,Vietnam,Multiple stores,,,C&I solar,OPERATING,,PORTFOLIO_DISTRIBUTED,PUBLIC_DATA_RECONSTRUCTION,2660,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,3059000,1150,3398888.89,0.9,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,VND,,,VND,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,VN-CI-2026,73,ACCEPTABLE,STRONG,ACCEPTABLE,MULTISITE_PORTFOLIO,GY-VN-LOTTEMART,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,VN-GY-LOTTEMART,Vietnam,DERIVED_FROM_CAPACITY_AND_YIELD,LEVEL_3_ANNUAL_ONLY
EU-GY-PTP-CADIZ,PTP Iberica Cadiz,GreenYellow,PTP Iberica,GreenYellow,Spain,European Union,Cadiz,,,C&I solar,CONSTRUCTION,,ONSITE_SELF_CONSUMPTION,PUBLIC_DATA_RECONSTRUCTION,1840,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,2400000,1304.35,2823529.41,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-ES-CI-2026,75,STRONG,STRONG,STRONG,ASSET_SITE,GY-EU-PTP,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-PTP-CADIZ,Spain,OBSERVED_PUBLIC_OR_SOURCE_REPORTED,LEVEL_3_ANNUAL_ONLY
EU-GY-CMC-ANDRYCHOW,CMC Andrychow rooftop,GreenYellow,CMC,GreenYellow,Poland,European Union,Andrychow,,,C&I solar,OPERATING,,ONSITE_SELF_CONSUMPTION,PUBLIC_DATA_RECONSTRUCTION,653,PUBLIC_SOURCE_OR_BENCHMARK_OVERLAY,685650,1050,806647.06,0.85,YES,NOT_DISCLOSED_OR_REFERENCE_ONLY,20,EUR,,,EUR,STANDARDIZED_CAPACITY_SIZED_UNDERWRITING,NOT_DISCLOSED_STANDARDIZED_UNDERWRITING,NOT_DISCLOSED,EU-PL-CI-2026,67,ACCEPTABLE,STRONG,ACCEPTABLE,ASSET_SITE,GY-EU-CMC,1,PARTIAL_RECONSTRUCTION,FRONTIER_ONLY,DERIVED_FROM_OBSERVED,SELECTED_V5_1_OUTCOME_BLIND,FROZEN_V5_1,READY_FOR_V5_1_FULL_ENGINE,EU-GY-CMC-ANDRYCHOW,Poland,DERIVED_FROM_CAPACITY_AND_YIELD,LEVEL_3_ANNUAL_ONLY
